TimeStamp,AccX,AccY,AccZ
21:01.2,-8.70E-01,-1.70E-01,-2.70E-01
21:01.4,-8.80E-01,-1.90E-01,-2.70E-01
21:01.5,-9.50E-01,-2.70E-01,-2.60E-01
21:01.6,-8.60E-01,-2.60E-01,-2.60E-01
21:01.7,-8.40E-01,-1.70E-01,-2.40E-01
21:01.8,-8.90E-01,-2.10E-01,-2.80E-01
21:01.9,-8.50E-01,-2.80E-01,-2.40E-01
21:02.1,-8.00E-01,-1.90E-01,-2.30E-01
21:02.2,-9.10E-01,-2.10E-01,-2.40E-01
21:02.3,-9.00E-01,-1.60E-01,-2.70E-01
21:02.4,-8.40E-01,-2.60E-01,-2.20E-01
21:02.5,-8.80E-01,-2.00E-01,-2.20E-01
21:02.7,-8.50E-01,-2.10E-01,-2.50E-01
21:02.8,-8.60E-01,-1.80E-01,-2.70E-01
21:02.9,-8.60E-01,-2.70E-01,-2.70E-01
21:03.0,-8.70E-01,-2.00E-01,-2.80E-01
21:03.1,-8.50E-01,-2.60E-01,-2.60E-01
21:03.3,-9.20E-01,-2.30E-01,-2.30E-01
21:03.4,-8.60E-01,-2.30E-01,-1.70E-01
21:03.5,-8.10E-01,-2.70E-01,-2.60E-01
21:03.6,-8.10E-01,-2.20E-01,-2.20E-01
21:03.8,-8.50E-01,-2.30E-01,-2.60E-01
21:03.8,-8.50E-01,-2.60E-01,-2.50E-01
21:04.0,-9.10E-01,-1.80E-01,-2.30E-01
21:04.1,-8.50E-01,7.00E-02,-1.70E-01
21:04.2,-1.33E+00,7.50E-01,-1.30E-01
21:04.3,-9.10E-01,1.08E+00,-1.50E-01
21:04.5,-7.60E-01,1,-2.70E-01
21:04.6,-4.00E-01,8.20E-01,-1.70E-01
21:04.7,0,6.90E-01,-1.00E-02
21:04.8,1.70E-01,2.40E-01,4.00E-02
21:04.9,-2.50E-01,3.50E-01,-9.00E-02
21:05.1,-4.20E-01,5.40E-01,-2.20E-01
21:05.2,-1.39E+00,2.40E-01,-1.50E-01
21:05.3,-1.42E+00,1.10E-01,-2.00E-01
21:05.4,-1.11E+00,-1.00E-02,-3.20E-01
21:05.6,-1.01E+00,-6.00E-02,-2.90E-01
21:05.7,-9.10E-01,-2.10E-01,-2.90E-01
21:05.8,-1.08E+00,-2.90E-01,-2.40E-01
21:05.9,-1.02E+00,-2.90E-01,-3.30E-01
21:06.1,-8.50E-01,-2.60E-01,-2.90E-01
21:06.1,-9.20E-01,-1.20E-01,-2.40E-01
21:06.2,-8.80E-01,-1.30E-01,-3.30E-01
21:06.4,-9.10E-01,-1.20E-01,-3.30E-01
21:06.5,-9.40E-01,-2.70E-01,-2.40E-01
21:06.6,-8.10E-01,-1.80E-01,-2.90E-01
21:06.7,-8.60E-01,-1.40E-01,-3.30E-01
21:06.9,-9.30E-01,-2.50E-01,-2.50E-01
21:07.0,-8.80E-01,-2.60E-01,-3.20E-01
21:07.1,-8.60E-01,-2.00E-01,-2.20E-01
21:07.2,-9.50E-01,-1.80E-01,-2.30E-01
21:07.4,-8.50E-01,-2.20E-01,-3.10E-01
21:07.5,-8.50E-01,-1.70E-01,-3.20E-01
21:07.6,-9.40E-01,-2.70E-01,-2.90E-01
21:07.7,-8.90E-01,-1.70E-01,-3.20E-01
21:07.8,-8.80E-01,-1.60E-01,-3.20E-01
21:08.0,-8.00E-01,-2.10E-01,-2.30E-01
21:08.0,-9.00E-01,-1.90E-01,-2.50E-01
21:08.2,-8.30E-01,-2.70E-01,-2.40E-01
21:08.3,-8.60E-01,-1.80E-01,-2.40E-01
21:08.4,-8.80E-01,-2.10E-01,-2.40E-01
21:08.5,-8.50E-01,-2.60E-01,-2.30E-01
21:08.7,-9.60E-01,-1.10E-01,-3.30E-01
21:08.8,-8.00E-01,-1.60E-01,-3.30E-01
21:08.9,-8.70E-01,-1.70E-01,-2.50E-01
21:09.0,-9.00E-01,-1.90E-01,-2.60E-01
21:09.2,-8.80E-01,-1.70E-01,-2.30E-01
21:09.3,-8.50E-01,-2.00E-01,-3.40E-01
21:09.4,-8.90E-01,-2.20E-01,-2.50E-01
21:09.5,-8.00E-01,-2.00E-01,-2.20E-01
21:09.6,-9.60E-01,-2.20E-01,-3.20E-01
21:09.7,-8.90E-01,-1.90E-01,-3.30E-01
21:09.8,-9.00E-01,-1.80E-01,-2.70E-01
21:10.0,-8.70E-01,-2.00E-01,-2.80E-01
21:10.1,-9.00E-01,-1.60E-01,-2.40E-01
21:10.2,-9.00E-01,-1.00E-01,-3.40E-01
21:10.3,-8.50E-01,-1.70E-01,-2.40E-01
21:10.5,-8.90E-01,-1.90E-01,-2.20E-01
21:10.6,-8.60E-01,-1.70E-01,-2.40E-01
21:10.7,-9.50E-01,-2.10E-01,-2.30E-01
21:10.8,-9.40E-01,-1.60E-01,-3.10E-01
21:10.9,-9.30E-01,-1.20E-01,-3.20E-01
21:11.1,-9.60E-01,-2.00E-01,-3.20E-01
21:11.2,-8.70E-01,-1.70E-01,-2.40E-01
21:11.3,-8.50E-01,-2.00E-01,-2.20E-01
21:11.4,-8.60E-01,-2.00E-01,-2.40E-01
21:11.6,-8.80E-01,-1.90E-01,-3.20E-01
21:11.7,-8.50E-01,-2.10E-01,-2.30E-01
21:11.8,-9.00E-01,-2.10E-01,-2.50E-01
21:11.9,-9.10E-01,-2.00E-01,-1.80E-01
21:12.0,-9.50E-01,-1.10E-01,-2.40E-01
21:12.1,-8.70E-01,-2.00E-01,-3.30E-01
21:12.3,-8.80E-01,-1.70E-01,-3.30E-01
21:12.4,-7.90E-01,-1.90E-01,-2.70E-01
21:12.5,-8.50E-01,-2.00E-01,-3.30E-01
21:12.6,-9.50E-01,-2.00E-01,-3.40E-01
21:12.7,-9.70E-01,-1.80E-01,-2.40E-01
21:12.9,-8.80E-01,-2.10E-01,-3.40E-01
21:13.0,-9.80E-01,1.10E-01,-2.80E-01
21:13.1,-1.50E+00,5.40E-01,-2.90E-01
21:13.2,-1.37E+00,6.90E-01,-1.80E-01
21:13.4,-1.31E+00,6.10E-01,-6.00E-02
21:13.5,-3.40E-01,7.80E-01,-1.80E-01
21:13.6,-2.00E-02,7.40E-01,1.00E-02
21:13.7,2.80E-01,4.10E-01,1.60E-01
21:13.8,2.00E-01,4.60E-01,2.00E-01
21:13.9,-1.00E-01,7.10E-01,9.00E-02
21:14.0,-5.50E-01,6.90E-01,8.00E-02
21:14.2,-1.19E+00,8.90E-01,-3.00E-02
21:14.3,-9.70E-01,4.00E-01,-1.50E-01
21:14.4,-1.39E+00,3.80E-01,-2.10E-01
21:14.5,-1.11E+00,1.60E-01,-2.40E-01
21:14.7,-8.50E-01,1.00E-01,-2.80E-01
21:14.8,-9.50E-01,-1.90E-01,-3.00E-01
21:14.9,-7.90E-01,-2.70E-01,-3.20E-01
21:15.0,-9.20E-01,-2.40E-01,-3.30E-01
21:15.2,-9.40E-01,-3.40E-01,-3.30E-01
21:15.3,-9.60E-01,-2.20E-01,-3.90E-01
21:15.4,-8.20E-01,-1.70E-01,-2.50E-01
21:15.5,-9.40E-01,-2.80E-01,-2.40E-01
21:15.6,-8.90E-01,-1.20E-01,-3.80E-01
21:15.7,-8.80E-01,-1.80E-01,-3.40E-01
21:15.8,-8.00E-01,-2.60E-01,-3.30E-01
21:16.0,-8.20E-01,-1.70E-01,-3.20E-01
21:16.1,-8.70E-01,-2.00E-01,-2.90E-01
21:16.2,-8.70E-01,-1.10E-01,-3.30E-01
21:16.3,-8.60E-01,-1.20E-01,-2.30E-01
21:16.5,-8.00E-01,-1.70E-01,-2.80E-01
21:16.6,-8.50E-01,-1.90E-01,-2.50E-01
21:16.7,-9.50E-01,-2.50E-01,-2.70E-01
21:16.9,-8.70E-01,-1.60E-01,-2.50E-01
21:17.0,-8.50E-01,-2.70E-01,-2.40E-01
21:17.1,-8.60E-01,-1.80E-01,-2.60E-01
21:17.2,-9.00E-01,-3.20E-01,-2.60E-01
21:17.3,-8.70E-01,-2.80E-01,-3.30E-01
21:17.4,-9.50E-01,-1.60E-01,-3.20E-01
21:17.5,-9.70E-01,-1.60E-01,-2.70E-01
21:17.6,-7.80E-01,-2.00E-01,-3.20E-01
21:17.8,-8.70E-01,-2.00E-01,-2.20E-01
21:17.9,-8.90E-01,-2.80E-01,-3.00E-01
21:18.0,-7.80E-01,-2.70E-01,-3.20E-01
21:18.1,-8.50E-01,-1.90E-01,-2.20E-01
21:18.3,-9.00E-01,-1.80E-01,-2.40E-01
21:18.4,-9.00E-01,-2.70E-01,-2.20E-01
21:18.5,-8.10E-01,-2.10E-01,-2.90E-01
21:18.6,-8.90E-01,-1.00E-01,-3.40E-01
21:18.7,-8.90E-01,-2.20E-01,-3.40E-01
21:18.9,-8.80E-01,-2.30E-01,-3.00E-01
21:19.0,-8.50E-01,-2.20E-01,-2.50E-01
21:19.1,-8.90E-01,-2.70E-01,-2.80E-01
21:19.2,-8.10E-01,-2.00E-01,-2.90E-01
21:19.4,-8.50E-01,-1.60E-01,-2.80E-01
21:19.4,-8.70E-01,-2.50E-01,-2.40E-01
21:19.6,-8.10E-01,-1.60E-01,-2.80E-01
21:19.7,-8.90E-01,-2.80E-01,-2.40E-01
21:19.8,-9.60E-01,-1.10E-01,-3.30E-01
21:19.9,-8.10E-01,-1.10E-01,-3.30E-01
21:20.1,-8.40E-01,-2.10E-01,-2.70E-01
21:20.2,-8.50E-01,-1.90E-01,-2.30E-01
21:20.3,-8.70E-01,-1.80E-01,-3.20E-01
21:20.4,-9.20E-01,-1.80E-01,-2.40E-01
21:20.5,-9.20E-01,-1.20E-01,-2.70E-01
21:20.7,-9.50E-01,-2.60E-01,-3.20E-01
21:20.8,-8.50E-01,-2.50E-01,-3.30E-01
21:20.9,-9.10E-01,-1.80E-01,-2.90E-01
21:21.0,-9.60E-01,-1.60E-01,-2.30E-01
21:21.2,-9.00E-01,-2.20E-01,-3.20E-01
21:21.3,-8.70E-01,-2.50E-01,-2.50E-01
21:21.4,-8.50E-01,-2.70E-01,-2.20E-01
21:21.5,-9.40E-01,-1.90E-01,-3.20E-01
